源 32×280

| 行 | 本体像素 | 闪光像素 |
|---|---|---|
| 0 | 4 | 0 |
| 1 | 4 | 0 |
| 2 | 10 | 2 |
| 3 | 10 | 2 |
| 4 | 20 | 0 |
| 5 | 18 | 2 |
| 6 | 26 | 2 |
| 7 | 28 | 0 |
| 8 | 31 | 1 |
| 9 | 30 | 2 |
| 10 | 31 | 1 |
| 11 | 32 | 0 |
| 12 | 31 | 1 |
| 13 | 31 | 1 |
| 14 | 31 | 1 |
| 15 | 30 | 2 |
| 16 | 30 | 0 |
| 17 | 30 | 0 |
| 18 | 24 | 0 |
| 19 | 24 | 0 |
| 20 | 16 | 0 |
| 21 | 16 | 0 |
| 22 | 8 | 0 |
| 23 | 8 | 0 |
| 30 | 4 | 0 |
| 31 | 4 | 0 |
| 32 | 12 | 0 |
| 33 | 12 | 0 |
| 34 | 19 | 1 |
| 35 | 19 | 1 |
| 36 | 26 | 2 |
| 37 | 27 | 1 |
| 38 | 30 | 2 |
| 39 | 31 | 1 |
| 40 | 30 | 2 |
| 41 | 30 | 2 |
| 42 | 31 | 1 |
| 43 | 31 | 1 |
| 44 | 31 | 1 |
| 45 | 31 | 1 |
| 46 | 30 | 0 |
| 47 | 30 | 0 |
| 48 | 24 | 0 |
| 49 | 24 | 0 |
| 50 | 16 | 0 |
| 51 | 16 | 0 |
| 52 | 8 | 0 |
| 53 | 8 | 0 |
| 58 | 4 | 0 |
| 59 | 4 | 0 |
| 60 | 12 | 0 |
| 61 | 12 | 0 |
| 62 | 20 | 0 |
| 63 | 20 | 0 |
| 64 | 27 | 1 |
| 65 | 27 | 1 |
| 66 | 31 | 1 |
| 67 | 31 | 1 |
| 68 | 31 | 1 |
| 69 | 30 | 2 |
| 70 | 31 | 1 |
| 71 | 31 | 1 |
| 72 | 31 | 1 |
| 73 | 30 | 2 |
| 74 | 29 | 1 |
| 75 | 28 | 2 |
| 76 | 24 | 0 |
| 77 | 24 | 0 |
| 78 | 16 | 0 |
| 79 | 16 | 0 |
| 80 | 8 | 0 |
| 81 | 8 | 0 |
| 89 | 4 | 0 |
| 90 | 4 | 0 |
| 91 | 12 | 0 |
| 92 | 12 | 0 |
| 93 | 20 | 0 |
| 94 | 20 | 0 |
| 95 | 28 | 0 |
| 96 | 28 | 0 |
| 97 | 31 | 1 |
| 98 | 31 | 1 |
| 99 | 30 | 2 |
| 100 | 31 | 1 |
| 101 | 31 | 1 |
| 102 | 30 | 2 |
| 103 | 30 | 2 |
| 104 | 32 | 0 |
| 105 | 29 | 1 |
| 106 | 29 | 1 |
| 107 | 23 | 1 |
| 108 | 23 | 1 |
| 109 | 16 | 0 |
| 110 | 16 | 0 |
| 111 | 8 | 0 |
| 112 | 8 | 0 |
| 117 | 4 | 0 |
| 118 | 4 | 0 |
| 119 | 12 | 0 |
| 120 | 12 | 0 |
| 121 | 20 | 0 |
| 122 | 20 | 0 |
| 123 | 28 | 0 |
| 124 | 28 | 0 |
| 125 | 31 | 1 |
| 126 | 30 | 2 |
| 127 | 30 | 2 |
| 128 | 31 | 1 |
| 129 | 32 | 0 |
| 130 | 31 | 1 |
| 131 | 32 | 0 |
| 132 | 30 | 2 |
| 133 | 30 | 0 |
| 134 | 29 | 1 |
| 135 | 23 | 1 |
| 136 | 23 | 1 |
| 137 | 15 | 1 |
| 138 | 15 | 1 |
| 139 | 8 | 0 |
| 140 | 8 | 0 |
| 145 | 4 | 0 |
| 146 | 4 | 0 |
| 147 | 12 | 0 |
| 148 | 12 | 0 |
| 149 | 20 | 0 |
| 150 | 20 | 0 |
| 151 | 28 | 0 |
| 152 | 28 | 0 |
| 153 | 32 | 0 |
| 154 | 32 | 0 |
| 155 | 31 | 1 |
| 156 | 30 | 2 |
| 157 | 30 | 2 |
| 158 | 28 | 4 |
| 159 | 27 | 5 |
| 160 | 27 | 5 |
| 161 | 24 | 6 |
| 162 | 24 | 6 |
| 163 | 17 | 7 |
| 164 | 21 | 3 |
| 165 | 16 | 0 |
| 166 | 16 | 0 |
| 167 | 8 | 0 |
| 168 | 8 | 0 |
| 173 | 4 | 0 |
| 174 | 4 | 0 |
| 175 | 12 | 0 |
| 176 | 12 | 0 |
| 177 | 20 | 0 |
| 178 | 20 | 0 |
| 179 | 28 | 0 |
| 180 | 28 | 0 |
| 181 | 30 | 2 |
| 182 | 27 | 5 |
| 183 | 28 | 4 |
| 184 | 27 | 5 |
| 185 | 27 | 5 |
| 186 | 27 | 5 |
